Dosha,Body_Frame,Skin_Texture,Hair_Type,Eyes,Sleep_Pattern,Appetite,Digestion,Sweating,Speech_Voice,Energy_Levels,Body_Temperature,Weather_Sensitivity,Memory,Motion_Tendencies,Mindset_Emotion,Elimination_Stool,Sleep_Requirement,Hunger_Onset,Speech_Pace,Weight_Tendency
Vata,"Thin, light","Dry, rough, cold","Dry, frizzy, brittle","Small, dry, dull","Light, interrupted",Irregular,"Variable, bloating",Less,"Fast, low pitch",High but gets tired fast,Cold,Dislikes heat,"Quick grasp, poor retention","Restless, always moving","Fear, anxiety","Dry, hard, constipation",4–6 hours,Irregular,Fast,Underweight
Kapha,"Heavy, broad","Smooth, moist, thick","Thick, strong, oily","Small, dry, dull","Deep, prolonged","Slow, steady","Variable, bloating","Moderate, little odor","Slow, melodious","Steady, consistent",Cool,"Dislikes cold, wind","Quick grasp, poor retention","Slow, steady","Calm, possessive","Well-formed, slow",6–7 hours,"Mild, slow hunger",Slow,Tendency to gain weight
Vata,"Thin, light","Dry, rough, cold","Dry, frizzy, brittle","Small, dry, dull","Light, interrupted",Irregular,"Variable, bloating",Less,"Fast, low pitch","Variable, bursts of energy",Cold,Dislikes heat,"Quick grasp, poor retention","Restless, always moving","Fear, anxiety","Dry, hard, constipation",4–6 hours,Irregular,Fast,Underweight
Pitta,"Medium, muscular","Warm, oily, reddish","Soft, oily, reddish/brown","Sharp, intense, reddish",Moderate,"Strong, frequent hunger","Fast, prone to acidity",Less,"Sharp, loud",High but gets tired fast,Warm,Dislikes heat,"Sharp memory, good retention","Purposeful, active","Anger, irritability","Loose, frequent",6–7 hours,Irregular,Measured,Normal weight
Pitta,"Medium, muscular","Warm, oily, reddish","Soft, oily, reddish/brown","Sharp, intense, reddish",Moderate,"Strong, frequent hunger","Fast, prone to acidity","Profuse, with odor","Sharp, loud","Steady, consistent",Warm,Dislikes heat,"Sharp memory, good retention","Slow, steady","Fear, anxiety","Dry, hard, constipation",6–7 hours,"Mild, slow hunger",Measured,Normal weight
Vata,"Thin, light","Dry, rough, cold","Dry, frizzy, brittle","Small, dry, dull","Light, interrupted",Irregular,"Variable, bloating",Less,"Fast, low pitch","Variable, bursts of energy",Cold,"Dislikes cold, wind","Quick grasp, poor retention","Restless, always moving","Anger, irritability","Loose, frequent",4–6 hours,Irregular,Measured,Underweight
Pitta,"Medium, muscular","Warm, oily, reddish","Soft, oily, reddish/brown","Sharp, intense, reddish","Light, interrupted","Strong, frequent hunger","Fast, prone to acidity","Profuse, with odor","Sharp, loud","Variable, bursts of energy",Cool,Dislikes heat,"Sharp memory, good retention","Restless, always moving","Anger, irritability","Loose, frequent",4–6 hours,"Sharp, quick hunger",Measured,Normal weight
Pitta,"Medium, muscular","Warm, oily, reddish","Thick, strong, oily","Sharp, intense, reddish","Deep, prolonged",Irregular,"Fast, prone to acidity","Profuse, with odor","Sharp, loud",High but gets tired fast,Cold,"Dislikes cold, wind","Sharp memory, good retention","Slow, steady","Anger, irritability","Loose, frequent",6–7 hours,"Sharp, quick hunger",Measured,Normal weight
Kapha,"Heavy, broad","Smooth, moist, thick","Soft, oily, reddish/brown","Large, calm, watery","Light, interrupted","Slow, steady","Slow, sluggish","Moderate, little odor","Slow, melodious","Steady, consistent",Cool,"Dislikes damp, cold","Slow learning, excellent retention","Slow, steady","Calm, possessive","Well-formed, slow",8–10 hours,"Mild, slow hunger",Slow,Tendency to gain weight
Kapha,"Heavy, broad","Smooth, moist, thick","Thick, strong, oily","Large, calm, watery","Deep, prolonged","Slow, steady","Slow, sluggish","Moderate, little odor","Slow, melodious","Steady, consistent",Cool,"Dislikes damp, cold","Slow learning, excellent retention","Slow, steady","Calm, possessive","Dry, hard, constipation",8–10 hours,"Mild, slow hunger",Slow,Tendency to gain weight
Pitta,"Thin, light","Warm, oily, reddish","Soft, oily, reddish/brown","Sharp, intense, reddish",Moderate,"Strong, frequent hunger","Fast, prone to acidity","Profuse, with odor","Sharp, loud",High but gets tired fast,Warm,Dislikes heat,"Sharp memory, good retention","Purposeful, active","Anger, irritability","Loose, frequent",4–6 hours,"Sharp, quick hunger",Measured,Normal weight
Vata,"Thin, light","Dry, rough, cold","Dry, frizzy, brittle","Small, dry, dull","Light, interrupted",Irregular,"Variable, bloating","Profuse, with odor","Slow, melodious",High but gets tired fast,Cold,"Dislikes cold, wind","Slow learning, excellent retention","Restless, always moving","Fear, anxiety","Well-formed, slow",4–6 hours,Irregular,Measured,Normal weight
Vata,"Thin, light","Dry, rough, cold","Dry, frizzy, brittle","Small, dry, dull","Light, interrupted",Irregular,"Variable, bloating",Less,"Sharp, loud","Variable, bursts of energy",Cold,Dislikes heat,"Slow learning, excellent retention","Restless, always moving","Fear, anxiety","Loose, frequent",4–6 hours,Irregular,Measured,Underweight
Vata,"Thin, light","Dry, rough, cold","Dry, frizzy, brittle","Small, dry, dull","Light, interrupted","Slow, steady","Variable, bloating",Less,"Fast, low pitch","Variable, bursts of energy",Cold,"Dislikes cold, wind","Quick grasp, poor retention","Restless, always moving","Fear, anxiety","Loose, frequent",6–7 hours,Irregular,Slow,Normal weight
Kapha,"Heavy, broad","Smooth, moist, thick","Dry, frizzy, brittle","Large, calm, watery","Deep, prolonged","Slow, steady","Slow, sluggish","Moderate, little odor","Slow, melodious","Steady, consistent",Cool,"Dislikes cold, wind","Slow learning, excellent retention","Slow, steady","Calm, possessive","Well-formed, slow",8–10 hours,Irregular,Fast,Tendency to gain weight
Vata,"Thin, light","Dry, rough, cold","Dry, frizzy, brittle","Small, dry, dull","Light, interrupted",Irregular,"Slow, sluggish",Less,"Fast, low pitch","Variable, bursts of energy",Cold,"Dislikes cold, wind","Quick grasp, poor retention","Restless, always moving","Fear, anxiety","Dry, hard, constipation",4–6 hours,"Sharp, quick hunger",Fast,Tendency to gain weight
Kapha,"Heavy, broad","Smooth, moist, thick","Thick, strong, oily","Large, calm, watery","Light, interrupted","Slow, steady","Slow, sluggish","Profuse, with odor","Slow, melodious","Steady, consistent",Cool,"Dislikes damp, cold","Quick grasp, poor retention","Slow, steady","Calm, possessive","Well-formed, slow",8–10 hours,"Mild, slow hunger",Slow,Tendency to gain weight
Pitta,"Medium, muscular","Warm, oily, reddish","Soft, oily, reddish/brown","Small, dry, dull",Moderate,"Strong, frequent hunger","Fast, prone to acidity","Profuse, with odor","Sharp, loud",High but gets tired fast,Warm,Dislikes heat,"Quick grasp, poor retention","Restless, always moving","Anger, irritability","Loose, frequent",6–7 hours,"Sharp, quick hunger",Measured,Normal weight
Vata,"Heavy, broad","Dry, rough, cold","Dry, frizzy, brittle","Small, dry, dull","Light, interrupted",Irregular,"Fast, prone to acidity","Profuse, with odor","Fast, low pitch","Variable, bursts of energy",Cold,"Dislikes cold, wind","Quick grasp, poor retention","Restless, always moving","Fear, anxiety","Well-formed, slow",4–6 hours,Irregular,Fast,Underweight
Vata,"Thin, light","Dry, rough, cold","Dry, frizzy, brittle","Small, dry, dull","Light, interrupted",Irregular,"Variable, bloating",Less,"Fast, low pitch","Variable, bursts of energy",Cold,"Dislikes cold, wind","Quick grasp, poor retention","Restless, always moving","Fear, anxiety","Dry, hard, constipation",4–6 hours,Irregular,Fast,Normal weight
Vata,"Thin, light","Dry, rough, cold","Soft, oily, reddish/brown","Small, dry, dull","Light, interrupted",Irregular,"Variable, bloating",Less,"Slow, melodious",High but gets tired fast,Cold,"Dislikes cold, wind","Quick grasp, poor retention","Slow, steady","Fear, anxiety","Dry, hard, constipation",4–6 hours,Irregular,Fast,Underweight
Pitta,"Medium, muscular","Warm, oily, reddish","Soft, oily, reddish/brown","Sharp, intense, reddish",Moderate,"Slow, steady","Fast, prone to acidity","Profuse, with odor","Sharp, loud",High but gets tired fast,Warm,Dislikes heat,"Slow learning, excellent retention","Purposeful, active","Anger, irritability","Loose, frequent",6–7 hours,Irregular,Fast,Underweight
Kapha,"Heavy, broad","Smooth, moist, thick","Thick, strong, oily","Large, calm, watery","Deep, prolonged","Slow, steady","Slow, sluggish","Moderate, little odor","Slow, melodious","Steady, consistent",Cool,"Dislikes damp, cold","Slow learning, excellent retention","Slow, steady","Calm, possessive","Well-formed, slow",8–10 hours,"Mild, slow hunger",Slow,Tendency to gain weight
Vata,"Medium, muscular","Dry, rough, cold","Dry, frizzy, brittle","Small, dry, dull","Light, interrupted",Irregular,"Variable, bloating",Less,"Fast, low pitch","Variable, bursts of energy",Cold,"Dislikes cold, wind","Quick grasp, poor retention","Restless, always moving","Fear, anxiety","Dry, hard, constipation",4–6 hours,Irregular,Fast,Normal weight
Vata,"Thin, light","Dry, rough, cold","Dry, frizzy, brittle","Small, dry, dull","Light, interrupted",Irregular,"Variable, bloating",Less,"Fast, low pitch","Variable, bursts of energy",Cold,Dislikes heat,"Quick grasp, poor retention","Purposeful, active","Fear, anxiety","Dry, hard, constipation",4–6 hours,Irregular,Fast,Underweight
Vata,"Heavy, broad","Dry, rough, cold","Dry, frizzy, brittle","Sharp, intense, reddish","Light, interrupted",Irregular,"Fast, prone to acidity",Less,"Slow, melodious","Variable, bursts of energy",Cold,Dislikes heat,"Quick grasp, poor retention","Restless, always moving","Calm, possessive","Dry, hard, constipation",4–6 hours,Irregular,Fast,Underweight
Vata,"Medium, muscular","Smooth, moist, thick","Dry, frizzy, brittle","Sharp, intense, reddish","Light, interrupted","Slow, steady","Fast, prone to acidity",Less,"Fast, low pitch","Variable, bursts of energy",Cold,"Dislikes cold, wind","Quick grasp, poor retention","Restless, always moving","Fear, anxiety","Loose, frequent",8–10 hours,"Sharp, quick hunger",Measured,Normal weight
Vata,"Thin, light","Dry, rough, cold","Dry, frizzy, brittle","Small, dry, dull","Light, interrupted",Irregular,"Variable, bloating",Less,"Fast, low pitch","Variable, bursts of energy",Cold,Dislikes heat,"Quick grasp, poor retention","Purposeful, active","Fear, anxiety","Dry, hard, constipation",4–6 hours,"Mild, slow hunger",Measured,Underweight
Pitta,"Medium, muscular","Warm, oily, reddish","Soft, oily, reddish/brown","Sharp, intense, reddish",Moderate,"Strong, frequent hunger","Variable, bloating","Profuse, with odor","Sharp, loud",High but gets tired fast,Warm,"Dislikes cold, wind","Sharp memory, good retention","Purposeful, active","Anger, irritability","Loose, frequent",4–6 hours,"Sharp, quick hunger",Measured,Normal weight
Pitta,"Medium, muscular","Dry, rough, cold","Soft, oily, reddish/brown","Sharp, intense, reddish",Moderate,Irregular,"Fast, prone to acidity","Moderate, little odor","Slow, melodious","Steady, consistent",Warm,Dislikes heat,"Sharp memory, good retention","Purposeful, active","Anger, irritability","Loose, frequent",6–7 hours,"Sharp, quick hunger",Measured,Normal weight
Kapha,"Heavy, broad","Smooth, moist, thick","Thick, strong, oily","Large, calm, watery","Deep, prolonged","Slow, steady","Slow, sluggish","Moderate, little odor","Slow, melodious","Steady, consistent",Cool,"Dislikes damp, cold","Slow learning, excellent retention","Slow, steady","Calm, possessive","Well-formed, slow",6–7 hours,"Mild, slow hunger",Slow,Tendency to gain weight
Pitta,"Medium, muscular","Warm, oily, reddish","Soft, oily, reddish/brown","Sharp, intense, reddish",Moderate,"Strong, frequent hunger","Slow, sluggish","Profuse, with odor","Sharp, loud",High but gets tired fast,Warm,Dislikes heat,"Quick grasp, poor retention","Purposeful, active","Anger, irritability","Loose, frequent",6–7 hours,"Sharp, quick hunger",Fast,Normal weight
Kapha,"Heavy, broad","Dry, rough, cold","Thick, strong, oily","Large, calm, watery","Deep, prolonged","Slow, steady","Slow, sluggish","Moderate, little odor","Slow, melodious","Steady, consistent",Cool,"Dislikes damp, cold","Slow learning, excellent retention","Slow, steady","Calm, possessive","Well-formed, slow",8–10 hours,"Mild, slow hunger",Fast,Tendency to gain weight
Pitta,"Medium, muscular","Warm, oily, reddish","Soft, oily, reddish/brown","Sharp, intense, reddish",Moderate,"Strong, frequent hunger","Fast, prone to acidity",Less,"Sharp, loud",High but gets tired fast,Warm,Dislikes heat,"Sharp memory, good retention","Purposeful, active","Anger, irritability","Loose, frequent",6–7 hours,"Sharp, quick hunger",Measured,Normal weight
Vata,"Thin, light","Dry, rough, cold","Soft, oily, reddish/brown","Small, dry, dull","Light, interrupted","Strong, frequent hunger","Fast, prone to acidity",Less,"Fast, low pitch",High but gets tired fast,Cold,"Dislikes cold, wind","Quick grasp, poor retention","Restless, always moving","Fear, anxiety","Dry, hard, constipation",4–6 hours,Irregular,Fast,Underweight
Vata,"Thin, light","Dry, rough, cold","Dry, frizzy, brittle","Small, dry, dull","Light, interrupted",Irregular,"Fast, prone to acidity",Less,"Slow, melodious","Variable, bursts of energy",Cold,"Dislikes cold, wind","Quick grasp, poor retention","Purposeful, active","Fear, anxiety","Dry, hard, constipation",4–6 hours,Irregular,Fast,Underweight
Vata,"Thin, light","Dry, rough, cold","Dry, frizzy, brittle","Small, dry, dull","Light, interrupted",Irregular,"Variable, bloating",Less,"Fast, low pitch","Variable, bursts of energy",Cold,"Dislikes damp, cold","Quick grasp, poor retention","Restless, always moving","Fear, anxiety","Dry, hard, constipation",4–6 hours,Irregular,Fast,Tendency to gain weight
Pitta,"Heavy, broad","Warm, oily, reddish","Soft, oily, reddish/brown","Sharp, intense, reddish",Moderate,"Strong, frequent hunger","Fast, prone to acidity",Less,"Sharp, loud",High but gets tired fast,Warm,"Dislikes cold, wind","Sharp memory, good retention","Purposeful, active","Anger, irritability","Loose, frequent",6–7 hours,"Sharp, quick hunger",Measured,Normal weight
Vata,"Thin, light","Dry, rough, cold","Dry, frizzy, brittle","Sharp, intense, reddish",Moderate,Irregular,"Variable, bloating",Less,"Fast, low pitch",High but gets tired fast,Cold,Dislikes heat,"Quick grasp, poor retention","Slow, steady","Anger, irritability","Dry, hard, constipation",4–6 hours,Irregular,Fast,Underweight
Kapha,"Thin, light","Smooth, moist, thick","Soft, oily, reddish/brown","Small, dry, dull",Moderate,"Slow, steady","Slow, sluggish","Moderate, little odor","Slow, melodious","Steady, consistent",Cool,"Dislikes damp, cold","Slow learning, excellent retention","Slow, steady","Calm, possessive","Dry, hard, constipation",4–6 hours,"Mild, slow hunger",Measured,Tendency to gain weight
Vata,"Medium, muscular","Dry, rough, cold","Dry, frizzy, brittle","Small, dry, dull",Moderate,Irregular,"Variable, bloating","Moderate, little odor","Fast, low pitch",High but gets tired fast,Cold,"Dislikes cold, wind","Quick grasp, poor retention","Restless, always moving","Fear, anxiety","Dry, hard, constipation",4–6 hours,Irregular,Fast,Underweight
Vata,"Medium, muscular","Dry, rough, cold","Dry, frizzy, brittle","Small, dry, dull","Light, interrupted",Irregular,"Variable, bloating","Moderate, little odor","Sharp, loud","Variable, bursts of energy",Cold,"Dislikes cold, wind","Quick grasp, poor retention","Slow, steady","Fear, anxiety","Dry, hard, constipation",4–6 hours,Irregular,Fast,Underweight
Vata,"Thin, light","Dry, rough, cold","Dry, frizzy, brittle","Sharp, intense, reddish","Light, interrupted",Irregular,"Fast, prone to acidity",Less,"Fast, low pitch","Variable, bursts of energy",Cold,"Dislikes cold, wind","Quick grasp, poor retention","Restless, always moving","Fear, anxiety","Dry, hard, constipation",4–6 hours,Irregular,Fast,Underweight
Vata,"Thin, light","Dry, rough, cold","Dry, frizzy, brittle","Small, dry, dull","Light, interrupted",Irregular,"Variable, bloating","Moderate, little odor","Fast, low pitch","Variable, bursts of energy",Cold,"Dislikes cold, wind","Sharp memory, good retention","Restless, always moving","Fear, anxiety","Dry, hard, constipation",4–6 hours,Irregular,Fast,Underweight
